longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,,median_house_value
-118.39,34.12,29,6447,1012,2184,960,8.2816,<1H OCEAN,489052.76,,500001
-120.42,34.89,24,2020,307,855,283,5.0099,<1H OCEAN,182171,,162500
-118.45,34.25,36,1453,270,808,275,4.3839,<1H OCEAN,202484,,204600
-118.1,33.91,35,1653,325,1072,301,3.2708,<1H OCEAN,168908,,159700
-117.07,32.77,38,3779,614,1495,614,4.3529,NEAR OCEAN,195454.01,,184000
-118.04,33.93,35,1805,387,1505,366,4.1667,<1H OCEAN,158135,,151900
-122.27,37.83,49,1655,366,754,329,1.375,NEAR BAY,110109,,104900
-122.26,37.46,26,5067,750,1996,728,7.0001,NEAR OCEAN,470702.75,,500001
-122.03,37.36,16,2697,803,1369,723,4.4699,<1H OCEAN,340333.01,,367400
-117.61,33.43,24,2303,399,851,379,3.9875,NEAR OCEAN,363686.19,,346500
-118.32,34.06,36,3239,722,1383,612,4.5918,<1H OCEAN,348561.04,,337000
-121.23,37.96,44,2204,473,1277,435,1.5539,INLAND,61857,,59200
-121.2,37.81,26,395,74,193,72,7.3718,INLAND,265687.05,,212500
-121.91,37.24,24,5046,1001,2449,968,4.7118,<1H OCEAN,279521,,274600
-118.48,34.28,35,2132,368,1128,341,5.3107,<1H OCEAN,229297,,227100
-117.65,34.1,44,1526,337,831,326,3.0284,INLAND,122607,,115800
-121.59,39.82,12,1958,369,875,354,2.3507,INLAND,95742,,97600
-118.97,35.41,36,1896,315,937,303,3.996,INLAND,87841,,85500
-118.06,33.88,17,7187,1073,3844,1068,6.5901,<1H OCEAN,328543,,337400
-118.39,33.85,24,4373,871,1830,824,5.7128,<1H OCEAN,380590.12,,366200
-117.98,33.73,18,3833,,2192,996,3.4679,<1H OCEAN,214420,,219700
-118.32,33.79,35,2924,658,1675,602,3.8287,<1H OCEAN,281038,,279900
-120.27,34.72,14,1289,277,693,237,3.2569,<1H OCEAN,220097,,230800
-119.65,36.33,52,1257,257,624,243,2.3523,INLAND,61163,,59100
-119.86,36.82,12,1488,253,675,223,4.7622,INLAND,104937,,89300
-119.23,35.78,8,1612,343,1230,330,2.1806,INLAND,70312,,67200
-118.35,34.16,45,1390,281,538,270,4.2212,<1H OCEAN,298334,,293800
-120.94,37.68,4,13315,2424,6420,2289,4.2471,INLAND,166803,,162100
-118.99,35.24,40,282,59,213,71,2.35,INLAND,91533,,91700
-121.11,37.47,12,2263,410,913,330,3.5795,INLAND,147540,,145600
-118.02,34.08,28,2769,631,2452,581,2.6071,INLAND,162609,,175900
-120.17,39.33,10,614,141,195,95,0.9283,INLAND,114812,,116300
-118.35,34.02,34,3978,1073,2725,1035,1.7622,<1H OCEAN,180467,,167900
-123.34,39.5,15,2342,535,1064,433,1.8967,INLAND,92769,,96600
-122.24,40.18,39,2191,493,1307,499,1.6483,INLAND,59507,,60800
-122.03,37.36,28,2490,345,948,361,6.4913,<1H OCEAN,408488.06,,411900
-117.09,32.58,12,2565,567,1785,545,3.0273,NEAR OCEAN,138089,,135300
-118.33,34.18,45,1552,315,785,316,3.7411,<1H OCEAN,233705,,235500
-121.44,38.53,37,1951,432,1089,411,2.3272,INLAND,83812,,80600
-119.7,34.43,35,1402,369,654,385,2.6205,<1H OCEAN,297676,,318800
-117.15,34.22,10,1039,174,317,109,7.2371,INLAND,229019.06,,171900
